+=================================================================================================+
| TOP MARKET CAP COMPANIES                                                                        |
| Date: 20260907 | Processed entries: 485                                                         |
+=================================================================================================+

+----------+----------------------+------------------------------------------+--------------------+
| Symbol   | Market Cap           | Name                                     | Sector             |
| DHR      |      145,982,078,976 | Danaher Corporation                      | Life Sciences T... |
| TJX      |      145,284,562,944 | TJX Companies                            | Apparel Retail     |
| BKNG     |      145,234,329,600 | Booking Holdings                         | Hotels Resorts ... |
| VRTX     |      138,420,076,544 | Vertex Pharmaceuticals                   | Biotechnology      |
| BMY      |      136,494,186,496 | Bristol Myers Squibb                     | Pharmaceuticals    |
| NEM      |      134,967,443,456 | Newmont                                  | Gold               |
| COF      |      134,721,282,048 | Capital One                              | Consumer Finance   |
| PLD      |      133,507,031,040 | Prologis                                 | Industrial REITs   |
| GLW      |      132,912,226,304 | Corning Inc.                             | Electronic Comp... |
| CB       |      131,785,375,744 | Chubb Limited                            | Property & Casu... |
| ISRG     |      131,380,568,064 | Intuitive Surgical                       | Health Care Equ... |
| SPGI     |      130,746,753,024 | S&P Global                               | Financial Excha... |
| PGR      |      127,231,852,544 | Progressive Corporation                  | Property & Casu... |
| CVS      |      123,727,593,472 | CVS Health                               | Health Care Ser... |
| PH       |      121,332,039,680 | Parker Hannifin                          | Industrial Mach... |
| LMT      |      121,229,770,752 | Lockheed Martin                          | Aerospace & Def... |
| MDT      |      120,456,413,184 | Medtronic                                | Health Care Equ... |
| SBUX     |      119,095,803,904 | Starbucks                                | Restaurants        |
| SYK      |      116,272,504,832 | Stryker Corporation                      | Health Care Equ... |
| MO       |      115,011,952,640 | Altria                                   | Tobacco            |
| LOW      |      114,707,488,768 | Lowe's                                   | Home Improvemen... |
| FTNT     |      114,672,107,520 | Fortinet                                 | Systems Software   |
| ACN      |      114,261,827,584 | Accenture                                | IT Consulting &... |
| ADP      |      110,288,084,992 | Automatic Data Processing                | Human Resource ... |
| MPC      |      109,212,753,920 | Marathon Petroleum                       | Oil & Gas Refin... |
| ABNB     |      108,943,065,088 | Airbnb                                   | Hotels Resorts ... |
| VLO      |      106,740,465,664 | Valero Energy                            | Oil & Gas Refin... |
| ADBE     |      105,937,731,584 | Adobe Inc.                               | Application Sof... |
| CEG      |      105,923,731,456 | Constellation Energy                     | Electric Utilities |
| MCK      |      105,862,881,280 | McKesson Corporation                     | Health Care Dis... |
| FCX      |      104,441,561,088 | Freeport-McMoRan                         | Copper             |
| HWM      |      103,397,236,736 | Howmet Aerospace                         | Aerospace & Def... |
| PSX      |      102,274,506,752 | Phillips 66                              | Oil & Gas Refin... |
| EQIX     |      102,221,889,536 | Equinix                                  | Data Center REITs  |
| SO       |      101,358,485,504 | Southern Company                         | Electric Utilities |
| CME      |      101,146,050,560 | CME Group                                | Financial Excha... |
| KKR      |       99,498,409,984 | KKR                                      | Asset Managemen... |
| USB      |       98,733,719,552 | U.S. Bancorp                             | Diversified Banks  |
| TT       |       98,548,383,744 | Trane Technologies                       | Building Products  |
| PNC      |       97,980,571,648 | PNC Financial Services                   | Diversified Banks  |
| GD       |       97,235,550,208 | General Dynamics                         | Aerospace & Def... |
| CMCSA    |       94,003,388,416 | Comcast                                  | Cable & Satellite  |
| PWR      |       93,875,912,704 | Quanta Services                          | Construction & ... |
| DUK      |       93,735,796,736 | Duke Energy                              | Electric Utilities |
| CSX      |       91,530,780,672 | CSX Corporation                          | Rail Transporta... |
| INTU     |       91,005,763,584 | Intuit                                   | Application Sof... |
| WMB      |       90,697,867,264 | Williams Companies                       | Oil & Gas Stora... |
| ICE      |       90,530,471,936 | Intercontinental Exchange                | Financial Excha... |
| ELV      |       88,374,239,232 | Elevance Health                          | Managed Health ... |
| JCI      |       87,796,162,560 | Johnson Controls                         | Building Products  |
| MAR      |       87,750,467,584 | Marriott International                   | Hotels Resorts ... |
| HCA      |       87,683,112,960 | HCA Healthcare                           | Health Care Fac... |
| WM       |       87,533,633,536 | Waste Management                         | Environmental &... |
| UPS      |       87,026,450,432 | United Parcel Service                    | Air Freight & L... |
| MMM      |       86,930,169,856 | 3M                                       | Industrial Cong... |
| MNST     |       85,845,647,360 | Monster Beverage                         | Soft Drinks & N... |
| MCO      |       85,473,476,608 | Moody's Corporation                      | Financial Excha... |
| SLB      |       85,353,078,784 | Schlumberger                             | Oil & Gas Equip... |
| EMR      |       85,243,002,880 | Emerson Electric                         | Electrical Comp... |
| REGN     |       85,217,902,592 | Regeneron Pharmaceuticals                | Biotechnology      |
| AMT      |       81,939,079,168 | American Tower                           | Telecom Tower R... |
| SHW      |       81,010,819,072 | Sherwin-Williams                         | Specialty Chemi... |
| CDNS     |       80,607,535,104 | Cadence Design Systems                   | Application Sof... |
| CTAS     |       80,221,995,008 | Cintas                                   | Diversified Sup... |
| SPG      |       79,508,340,736 | Simon Property Group                     | Retail REITs       |
| GM       |       79,374,663,680 | General Motors                           | Automobile Manu... |
| ECL      |       78,290,173,952 | Ecolab                                   | Specialty Chemi... |
| MDLZ     |       78,212,161,536 | Mondelez International                   | Packaged Foods ... |
| MSI      |       77,459,365,888 | Motorola Solutions                       | Communications ... |
| CMI      |       77,195,354,112 | Cummins                                  | Construction Ma... |
| TRV      |       77,037,182,976 | Travelers Companies (The)                | Property & Casu... |
| ITW      |       76,930,170,880 | Illinois Tool Works                      | Industrial Mach... |
| FDX      |       76,330,942,464 | FedEx                                    | Air Freight & L... |
| EOG      |       76,156,395,520 | EOG Resources                            | Oil & Gas Explo... |
| SNPS     |       75,474,173,952 | Synopsys                                 | Application Sof... |
| TGT      |       74,704,560,128 | Target Corporation                       | Consumer Staple... |
| CI       |       74,653,220,864 | Cigna                                    | Health Care Ser... |
| ROST     |       74,000,990,208 | Ross Stores                              | Apparel Retail     |
| NSC      |       73,999,474,688 | Norfolk Southern Railway                 | Rail Transporta... |
| NOC      |       73,159,614,464 | Northrop Grumman                         | Aerospace & Def... |
| DLR      |       71,148,068,864 | Digital Realty                           | Data Center REITs  |
| ORLY     |       71,099,564,032 | O'Reilly Auto Parts                      | Automotive Retail  |
| RCL      |       70,925,615,104 | Royal Caribbean Group                    | Hotels Resorts ... |
| WBD      |       70,826,614,784 | Warner Bros. Discovery                   | Broadcasting       |
| CL       |       70,765,027,328 | Colgate-Palmolive                        | Household Products |
| HLT      |       70,035,701,760 | Hilton Worldwide                         | Hotels Resorts ... |
| KMI      |       69,921,587,200 | Kinder Morgan                            | Oil & Gas Stora... |
| BSX      |       69,273,174,016 | Boston Scientific                        | Health Care Equ... |
| HPE      |       69,028,167,680 | Hewlett Packard Enterprise               | Technology Hard... |
| AON      |       68,535,607,296 | Aon                                      | Insurance Brokers  |
| RSG      |       68,196,696,064 | Republic Services                        | Environmental &... |
| AEP      |       67,777,474,560 | American Electric Power                  | Electric Utilities |
| AJG      |       67,338,215,424 | Arthur J. Gallagher & Co.                | Insurance Brokers  |
| APD      |       67,088,470,016 | Air Products                             | Industrial Gases   |
| HON      |       66,433,794,048 | Honeywell                                | Industrial Cong... |
| PCAR     |       65,637,707,776 | Paccar                                   | Construction Ma... |
| ALL      |       65,634,340,864 | Allstate                                 | Property & Casu... |
| TDG      |       64,234,086,400 | TransDigm Group                          | Aerospace & Def... |
| COR      |       63,154,253,824 | Cencora                                  | Health Care Dis... |
| TFC      |       63,096,995,840 | Truist Financial                         | Diversified Banks  |
| BKR      |       63,034,802,176 | Baker Hughes                             | Oil & Gas Equip... |
| URI      |       62,856,196,096 | United Rentals                           | Trading Compani... |
| GWW      |       62,384,730,112 | W. W. Grainger                           | Industrial Mach... |
| TRGP     |       62,195,716,096 | Targa Resources                          | Oil & Gas Stora... |
| MET      |       62,035,259,392 | MetLife                                  | Life & Health I... |
| TEL      |       60,406,931,456 | TE Connectivity                          | Electronic Manu... |
| OKE      |       60,156,178,432 | ONEOK                                    | Oil & Gas Stora... |
| MPWR     |       60,144,152,576 | Monolithic Power Systems                 | Semiconductors     |
| OXY      |       60,018,229,248 | Occidental Petroleum                     | Oil & Gas Explo... |
| NUE      |       59,230,437,376 | Nucor                                    | Steel              |
| AFL      |       58,762,448,896 | Aflac                                    | Life & Health I... |
| CTVA     |       58,619,842,560 | Corteva                                  | Fertilizers & A... |
| F        |       58,298,650,624 | Ford Motor Company                       | Automobile Manu... |
| MRNA     |       58,108,788,736 | Moderna                                  | Biotechnology      |
| O        |       57,955,856,384 | Realty Income                            | Retail REITs       |
| D        |       57,907,986,432 | Dominion Energy                          | Multi-Utilities    |
| CAH      |       57,488,068,608 | Cardinal Health                          | Health Care Dis... |
| NXPI     |       57,451,827,200 | NXP Semiconductors                       | Semiconductors     |
| NKE      |       56,966,352,896 | Nike Inc.                                | Apparel Accesso... |
| FAST     |       56,915,877,888 | Fastenal                                 | Trading Compani... |
| PSA      |       56,399,085,568 | Public Storage                           | Self-Storage REITs |
| TER      |       55,818,338,304 | Teradyne                                 | Semiconductor M... |
| FANG     |       55,785,541,632 | Diamondback Energy                       | Oil & Gas Explo... |
| KEYS     |       55,705,784,320 | Keysight Technologies                    | Electronic Equi... |
| SRE      |       54,953,787,392 | Sempra                                   | Multi-Utilities    |
| AME      |       54,499,983,360 | Ametek                                   | Electrical Comp... |
| NDAQ     |       54,153,723,904 | Nasdaq Inc.                              | Financial Excha... |
| GRMN     |       53,425,938,432 | Garmin                                   | Consumer Electr... |
| STT      |       53,363,560,448 | State Street Corporation                 | Asset Managemen... |
| EA       |       52,925,640,704 | Electronic Arts                          | Interactive Hom... |
| DVN      |       52,866,002,944 | Devon Energy                             | Oil & Gas Explo... |
| DAL      |       52,721,639,424 | Delta Air Lines                          | Passenger Airlines |
| EW       |       51,818,360,832 | Edwards Lifesciences                     | Health Care Equ... |
| ETR      |       51,251,187,712 | Entergy                                  | Electric Utilities |
| BDX      |       50,320,740,352 | Becton Dickinson                         | Health Care Equ... |
| VST      |       50,110,337,024 | Vistra Corp.                             | Electric Utilities |
| FITB     |       49,761,193,984 | Fifth Third Bancorp                      | Regional Banks     |
| AMP      |       49,516,068,864 | Ameriprise Financial                     | Asset Managemen... |
| CARR     |       49,220,448,256 | Carrier Global                           | Building Products  |
| ROK      |       48,271,753,216 | Rockwell Automation                      | Electrical Comp... |
| HUM      |       48,217,047,040 | Humana                                   | Managed Health ... |
| WAB      |       47,778,119,680 | Wabtec                                   | Construction Ma... |
| LHX      |       47,754,743,808 | L3Harris                                 | Aerospace & Def... |
| XEL      |       47,299,682,304 | Xcel Energy                              | Multi-Utilities    |
| PYPL     |       47,016,128,512 | PayPal                                   | Transaction & P... |
| CMG      |       46,769,848,320 | Chipotle Mexican Grill                   | Restaurants        |
| VTR      |       46,303,666,176 | Ventas                                   | Health Care REITs  |
| EBAY     |       46,017,449,984 | eBay                                     | Broadline Retail   |
| ADSK     |       45,541,097,472 | Autodesk                                 | Application Sof... |
| EXC      |       44,960,280,576 | Exelon                                   | Electric Utilities |
| KDP      |       44,349,317,120 | Keurig Dr Pepper                         | Soft Drinks & N... |
| IQV      |       44,074,938,368 | IQVIA                                    | Life Sciences T... |
| PAYX     |       43,326,382,080 | Paychex                                  | Human Resource ... |
| CBRE     |       42,813,710,336 | CBRE Group                               | Real Estate Ser... |
| A        |       42,537,365,504 | Agilent Technologies                     | Life Sciences T... |
| IDXX     |       42,177,835,008 | Idexx Laboratories                       | Health Care Equ... |
| PRU      |       42,096,898,048 | Prudential Financial                     | Life & Health I... |
| AXON     |       41,891,696,640 | Axon Enterprise                          | Aerospace & Def... |
| MSCI     |       41,657,827,328 | MSCI                                     | Financial Excha... |
| YUM      |       41,128,923,136 | Yum! Brands                              | Restaurants        |
| ADM      |       40,778,600,448 | Archer Daniels Midland                   | Agricultural Pr... |
| LYV      |       40,418,471,936 | Live Nation Entertainment                | Movies & Entert... |
| ROP      |       40,280,346,624 | Roper Technologies                       | Electronic Equi... |
| MCHP     |       40,274,956,288 | Microchip Technology                     | Semiconductors     |
| WAT      |       40,195,325,952 | Waters Corporation                       | Life Sciences T... |
| TTWO     |       40,142,831,616 | Take-Two Interactive                     | Interactive Hom... |
| DHI      |       39,927,357,440 | D. R. Horton                             | Homebuilding       |
| AIG      |       39,849,689,088 | American International Group             | Multi-line Insu... |
| ED       |       39,678,914,560 | Consolidated Edison                      | Multi-Utilities    |
| ODFL     |       38,655,066,112 | Old Dominion                             | Cargo Ground Tr... |
| SYY      |       38,351,634,432 | Sysco                                    | Food Distributors  |
| EL       |       37,576,396,800 | Estée Lauder Companies (The)             | Personal Care P... |
| HIG      |       37,480,558,592 | Hartford (The)                           | Property & Casu... |
| PEG      |       36,733,554,688 | Public Service Enterprise Group          | Electric Utilities |
| MLM      |       36,558,651,392 | Martin Marietta Materials                | Construction Ma... |
| NTAP     |       36,453,404,672 | NetApp                                   | Technology Hard... |
| UAL      |       36,150,575,104 | United Airlines Holdings                 | Passenger Airlines |
| KVUE     |       35,995,295,744 | Kenvue                                   | Personal Care P... |
| KR       |       35,895,005,184 | Kroger                                   | Food Retail        |
| EXPE     |       35,771,379,712 | Expedia Group                            | Hotels Resorts ... |
| KMB      |       34,907,496,448 | Kimberly-Clark                           | Household Products |
| HSY      |       34,790,277,120 | Hershey Company (The)                    | Packaged Foods ... |
| IRM      |       34,789,552,128 | Iron Mountain                            | Other Specializ... |
| STLD     |       34,693,996,544 | Steel Dynamics                           | Steel              |
| MTB      |       34,636,795,904 | M&T Bank                                 | Regional Banks     |
| WEC      |       34,520,481,792 | WEC Energy Group                         | Electric Utilities |
| EQT      |       34,509,717,504 | EQT Corporation                          | Oil & Gas Explo... |
| HBAN     |       34,407,665,664 | Huntington Bancshares                    | Regional Banks     |
| RJF      |       34,249,506,816 | Raymond James Financial                  | Investment Bank... |
| NTRS     |       34,145,013,760 | Northern Trust                           | Asset Managemen... |
| VMC      |       34,031,263,744 | Vulcan Materials Company                 | Construction Ma... |
| ACGL     |       33,474,576,384 | Arch Capital Group                       | Property & Casu... |
| DXCM     |       33,170,012,160 | Dexcom                                   | Health Care Equ... |
| CCI      |       33,137,711,104 | Crown Castle                             | Telecom Tower R... |
| CNC      |       33,117,425,664 | Centene Corporation                      | Managed Health ... |
| RMD      |       32,940,013,568 | ResMed                                   | Health Care Equ... |
| BIIB     |       32,628,516,864 | Biogen                                   | Biotechnology      |
| JBL      |       32,543,727,616 | Jabil                                    | Electronic Manu... |
| CCL      |       32,200,452,096 | Carnival                                 | Hotels Resorts ... |
| PCG      |       31,493,849,088 | PG&E Corporation                         | Multi-Utilities    |
| ZTS      |       31,326,480,384 | Zoetis                                   | Pharmaceuticals    |
| CPRT     |       31,218,364,416 | Copart                                   | Diversified Sup... |
| CBOE     |       31,160,127,488 | Cboe Global Markets                      | Financial Excha... |
| GEHC     |       31,103,115,264 | GE HealthCare                            | Health Care Equ... |
| WTW      |       31,087,951,872 | Willis Towers Watson                     | Insurance Brokers  |
| HAL      |       30,884,143,104 | Halliburton                              | Oil & Gas Equip... |
| EXR      |       30,732,828,672 | Extra Space Storage                      | Self-Storage REITs |
| CFG      |       29,810,892,800 | Citizens Financial Group                 | Regional Banks     |
| IR       |       29,627,635,712 | Ingersoll Rand                           | Industrial Mach... |
| AEE      |       29,475,502,080 | Ameren                                   | Multi-Utilities    |
| KHC      |       29,467,719,680 | Kraft Heinz                              | Packaged Foods ... |
| HPQ      |       29,434,456,064 | HP Inc.                                  | Technology Hard... |
| DG       |       29,388,363,776 | Dollar General                           | Consumer Staple... |
| ON       |       28,957,517,824 | ON Semiconductor                         | Semiconductors     |
| LVS      |       28,738,500,608 | Las Vegas Sands                          | Casinos & Gaming   |
| DTE      |       28,316,624,896 | DTE Energy                               | Multi-Utilities    |
| ATO      |       28,315,721,728 | Atmos Energy                             | Gas Utilities      |
| TDY      |       28,307,091,456 | Teledyne Technologies                    | Electronic Equi... |
| CTSH     |       28,067,180,544 | Cognizant                                | IT Consulting &... |
| VICI     |       27,989,389,312 | Vici Properties                          | Hotel & Resort ... |
| AWK      |       27,961,167,872 | American Water Works                     | Water Utilities    |
| FOXA     |       27,505,018,880 | Fox Corporation (Class A)                | Broadcasting       |
| CPAY     |       27,338,686,464 | Corpay                                   | Transaction & P... |
| OTIS     |       27,107,463,168 | Otis Worldwide                           | Industrial Mach... |
| FE       |       27,062,990,848 | FirstEnergy                              | Electric Utilities |
| MTD      |       26,954,383,360 | Mettler Toledo                           | Life Sciences T... |
| ES       |       26,762,741,760 | Eversource Energy                        | Electric Utilities |
| LH       |       26,510,780,416 | LabCorp                                  | Health Care Ser... |
| PPL      |       26,421,850,112 | PPL Corporation                          | Electric Utilities |
| VRSN     |       26,404,030,464 | Verisign                                 | Internet Servic... |
| AVB      |       26,283,393,024 | AvalonBay Communities                    | Multi-Family Re... |
| CINF     |       26,260,094,976 | Cincinnati Financial                     | Property & Casu... |
| DGX      |       26,173,937,664 | Quest Diagnostics                        | Health Care Ser... |
| CNP      |       26,131,431,424 | CenterPoint Energy                       | Multi-Utilities    |
| SMCI     |       26,009,260,032 | Supermicro                               | Technology Hard... |
| SYF      |       26,003,638,272 | Synchrony Financial                      | Consumer Finance   |
| DOV      |       25,977,122,816 | Dover Corporation                        | Industrial Mach... |
| RF       |       25,915,697,152 | Regions Financial Corporation            | Regional Banks     |
| JBHT     |       25,711,091,712 | J.B. Hunt                                | Cargo Ground Tr... |
| INCY     |       25,691,938,816 | Incyte                                   | Biotechnology      |
| WRB      |       25,666,670,592 | W. R. Berkley Corporation                | Property & Casu... |
| NRG      |       25,019,250,688 | NRG Energy                               | Independent Pow... |
| PPG      |       25,015,418,880 | PPG Industries                           | Specialty Chemi... |
| PFG      |       24,981,729,280 | Principal Financial Group                | Life & Health I... |
| XYL      |       24,677,222,400 | Xylem Inc.                               | Industrial Mach... |
| DLTR     |       24,658,374,656 | Dollar Tree                              | Consumer Staple... |
| DRI      |       24,624,936,960 | Darden Restaurants                       | Restaurants        |
| EQR      |       24,611,481,600 | Equity Residential                       | Multi-Family Re... |
| FOX      |       24,561,956,864 | Fox Corporation (Class B)                | Broadcasting       |
| EXPD     |       24,542,230,528 | Expeditors International                 | Air Freight & L... |
| GPN      |       24,487,786,496 | Global Payments                          | Transaction & P... |
| TPR      |       24,353,699,840 | Tapestry Inc.                            | Apparel Accesso... |
| HUBB     |       24,341,022,720 | Hubbell Incorporated                     | Industrial Mach... |
| VRSK     |       24,181,686,272 | Verisk Analytics                         | Research & Cons... |
| ULTA     |       24,120,344,576 | Ulta Beauty                              | Other Specialty... |
| SW       |       24,038,885,376 | Smurfit WestRock                         | Paper & Plastic... |
| WST      |       23,925,647,360 | West Pharmaceutical Services             | Health Care Sup... |
| BRO      |       23,897,872,384 | Brown & Brown                            | Insurance Brokers  |
| PHM      |       23,706,025,984 | PulteGroup                               | Homebuilding       |
| KEY      |       23,668,912,128 | KeyCorp                                  | Regional Banks     |
| VLTO     |       23,479,736,320 | Veralto                                  | Environmental &... |
| TROW     |       23,417,815,040 | T. Rowe Price                            | Asset Managemen... |
| CHD      |       23,376,445,440 | Church & Dwight                          | Household Products |
| BG       |       22,806,460,416 | Bunge Global                             | Agricultural Pr... |
| OMC      |       22,666,463,232 | Omnicom Group                            | Advertising        |
| L        |       22,343,950,336 | Loews Corporation                        | Multi-line Insu... |
| FFIV     |       22,111,215,616 | F5 Inc.                                  | Communications ... |
| IFF      |       22,032,199,680 | International Flavors & Fragrances       | Specialty Chemi... |
| FSLR     |       21,972,199,424 | First Solar                              | Semiconductors     |
| STE      |       21,897,549,824 | Steris                                   | Health Care Equ... |
| STZ      |       21,893,699,584 | Constellation Brands                     | Distillers & Vi... |
| EIX      |       21,845,889,024 | Edison International                     | Electric Utilities |
| FIS      |       21,602,920,448 | Fidelity National Information Services   | Transaction & P... |
| CMS      |       21,467,492,352 | CMS Energy                               | Multi-Utilities    |
| DOW      |       21,265,711,104 | Dow Inc.                                 | Commodity Chemi... |
| PKG      |       21,138,571,264 | Packaging Corporation of America         | Paper & Plastic... |
| RL       |       20,925,284,352 | Ralph Lauren Corporation                 | Apparel Accesso... |
| AMCR     |       20,874,909,696 | Amcor                                    | Paper & Plastic... |
| EFX      |       20,800,700,416 | Equifax                                  | Research & Cons... |
| LYB      |       20,519,370,752 | LyondellBasell                           | Specialty Chemi... |
| CHTR     |       20,484,831,232 | Charter Communications                   | Cable & Satellite  |
| GIS      |       20,470,962,176 | General Mills                            | Packaged Foods ... |
| CF       |       20,180,940,800 | CF Industries                            | Fertilizers & A... |
| FICO     |       20,134,612,992 | Fair Isaac                               | Application Sof... |
| LEN      |       20,134,014,976 | Lennar                                   | Homebuilding       |
| SBAC     |       20,097,331,200 | SBA Communications                       | Telecom Tower R... |
| NI       |       19,848,992,768 | NiSource                                 | Multi-Utilities    |
| SNA      |       19,811,487,744 | Snap-on                                  | Industrial Mach... |
| IP       |       19,721,183,232 | International Paper                      | Paper & Plastic... |
| BR       |       19,712,090,112 | Broadridge Financial Solutions           | Data Processing... |
| VTRS     |       19,388,213,248 | Viatris                                  | Pharmaceuticals    |
| LUV      |       19,382,427,648 | Southwest Airlines                       | Passenger Airlines |
| ESS      |       19,205,390,336 | Essex Property Trust                     | Multi-Family Re... |
| CDW      |       19,050,156,032 | CDW                                      | Technology Dist... |
| GPC      |       19,035,676,672 | Genuine Parts Company                    | Distributors       |
| BBY      |       19,025,946,624 | Best Buy                                 | Computer & Elec... |
| EVRG     |       18,800,447,488 | Evergy                                   | Electric Utilities |
| ZBH      |       18,705,645,568 | Zimmer Biomet                            | Health Care Equ... |
| GEN      |       18,346,690,560 | Gen Digital                              | Systems Software   |
| TSCO     |       18,231,195,648 | Tractor Supply                           | Other Specialty... |
| NWS      |       18,194,145,280 | News Corp (Class B)                      | Publishing         |
| TSN      |       18,089,631,744 | Tyson Foods                              | Packaged Foods ... |
